Año,Trimestre,Provincia,Banda ancha fija,Dial up,indice
2017,2,Tucumán,154,37.0,551
2017,1,Buenos Aires,3,11.0,552
2017,1,Capital Federal,1,8.0,553
2017,1,Catamarca,26,13.0,554
2017,1,Chaco,89,14.0,555
2017,1,Chubut,62,2.0,556
2017,1,Córdoba,641,133.0,557
2017,1,Corrientes,89,12.0,558
2017,1,Entre Ríos,180,57.0,559
2017,1,Formosa,30,0.0,560
2017,1,Jujuy,43,1.0,561
2017,1,La Pampa,71,455.0,562
2017,1,La Rioja,16,18.0,563
2017,1,Mendoza,169,1.0,564
2017,1,Misiones,98,0.0,565
2017,1,Neuquén,113,2.0,566
2017,1,Río Negro,100,1.0,567
2017,1,Salta,108,1.0,568
2017,1,San Juan,51,620.0,569
2017,1,San Luis,13,315.0,570
2017,1,Santa Cruz,26,370.0,571
2017,1,Santa Fe,563,362.0,572
2017,1,Santiago Del Estero,34,2.0,573
2017,1,Tierra Del Fuego,32,619.0,574
2017,1,Tucumán,153,37.0,575
2016,4,Buenos Aires,3,11.0,576
2016,4,Capital Federal,1,8.0,577
2016,4,Catamarca,27,13.0,578
2016,4,Chaco,89,14.0,579
2016,4,Chubut,62,2.0,580
2016,4,Córdoba,636,133.0,581
2016,4,Corrientes,88,12.0,582
2016,4,Entre Ríos,180,57.0,583
2016,4,Formosa,30,0.0,584
2016,4,Jujuy,43,1.0,585
2016,4,La Pampa,71,460.0,586
2016,4,La Rioja,16,18.0,587
2016,4,Mendoza,169,1.0,588
2016,4,Misiones,97,0.0,589
2016,4,Neuquén,112,2.0,590
2016,4,Río Negro,100,1.0,591
2016,4,Salta,107,1.0,592
2016,4,San Juan,51,620.0,593
2016,4,San Luis,13,315.0,594
2016,4,Santa Cruz,26,370.0,595
2016,4,Santa Fe,561,362.0,596
2016,4,Santiago Del Estero,35,2.0,597
2016,4,Tierra Del Fuego,32,619.0,598
2016,4,Tucumán,152,37.0,599
2016,3,Buenos Aires,3,11.0,600
2016,3,Capital Federal,1,8.0,601
2016,3,Catamarca,27,13.0,602
2016,3,Chaco,89,14.0,603
2016,3,Chubut,62,2.0,604
2016,3,Córdoba,642,133.0,605
2016,3,Corrientes,88,12.0,606
2016,3,Entre Ríos,181,57.0,607
2016,3,Formosa,28,0.0,608
2016,3,Jujuy,43,1.0,609
2016,3,La Pampa,70,461.0,610
2016,3,La Rioja,17,18.0,611
2016,3,Mendoza,169,1.0,612
2016,3,Misiones,98,0.0,613
2016,3,Neuquén,110,2.0,614
2016,3,Río Negro,100,1.0,615
2016,3,Salta,108,1.0,616
2016,3,San Juan,51,620.0,617
2016,3,San Luis,13,315.0,618
2016,3,Santa Cruz,26,371.0,619
2016,3,Santa Fe,567,386.0,620
2016,3,Santiago Del Estero,36,2.0,621
2016,3,Tierra Del Fuego,31,619.0,622
2016,3,Tucumán,151,37.0,623
2016,2,Buenos Aires,3,13.0,624
2016,2,Capital Federal,1,10.0,625
2016,2,Catamarca,27,13.0,626
2016,2,Chaco,88,16.0,627
2016,2,Chubut,62,2.0,628
2016,2,Córdoba,635,234.0,629
2016,2,Corrientes,87,24.0,630
2016,2,Entre Ríos,178,179.0,631
2016,2,Formosa,29,1.0,632
2016,2,Jujuy,41,2.0,633
2016,2,La Pampa,68,485.0,634
2016,2,La Rioja,17,18.0,635
2016,2,Mendoza,169,2.0,636
2016,2,Misiones,96,7.0,637
2016,2,Neuquén,108,2.0,638
2016,2,Río Negro,100,1.0,639
2016,2,Salta,105,3.0,640
2016,2,San Juan,51,621.0,641
2016,2,San Luis,13,317.0,642
2016,2,Santa Cruz,26,356.0,643
2016,2,Santa Fe,564,607.0,644
2016,2,Santiago Del Estero,37,3.0,645
2016,2,Tierra Del Fuego,31,619.0,646
2016,2,Tucumán,149,41.0,647
2016,1,Buenos Aires,3,13.0,648
2016,1,Capital Federal,1,10.0,649
2016,1,Catamarca,26,13.0,650
2016,1,Chaco,87,16.0,651
2016,1,Chubut,62,2.0,652
2016,1,Córdoba,610,234.0,653
2016,1,Corrientes,86,26.0,654
2016,1,Entre Ríos,175,179.0,655
2016,1,Formosa,28,1.0,656
2016,1,Jujuy,40,2.0,657
2016,1,La Pampa,65,487.0,658
2016,1,La Rioja,17,18.0,659
2016,1,Mendoza,169,2.0,660
2016,1,Misiones,93,7.0,661
2016,1,Neuquén,102,2.0,662
2016,1,Río Negro,99,1.0,663
2016,1,Salta,102,3.0,664
2016,1,San Juan,51,621.0,665
2016,1,San Luis,13,317.0,666
2016,1,Santa Cruz,26,356.0,667
2016,1,Santa Fe,551,618.0,668
2016,1,Santiago Del Estero,38,3.0,669
2016,1,Tierra Del Fuego,30,619.0,670
2016,1,Tucumán,147,41.0,671
