Año,Trimestre,Provincia,Mbps (miles)
2015,1,San Juan,348
2015,1,San Luis,350
2015,1,Santa Cruz,347
2015,1,Santa Fe,406
2015,1,Santiago Del Estero,357
2015,1,Tierra Del Fuego,345
2015,1,Tucumán,407
2014,4,Buenos Aires,420
2014,4,Capital Federal,478
2014,4,Catamarca,334
2014,4,Chaco,398
2014,4,Chubut,317
2014,4,Córdoba,409
2014,4,Corrientes,381
2014,4,Entre Ríos,380
2014,4,Formosa,302
2014,4,Jujuy,313
2014,4,La Pampa,275
2014,4,La Rioja,358
2014,4,Mendoza,350
2014,4,Misiones,403
2014,4,Neuquén,385
2014,4,Río Negro,354
2014,4,Salta,386
2014,4,San Juan,348
2014,4,San Luis,350
2014,4,Santa Cruz,333
2014,4,Santa Fe,378
2014,4,Santiago Del Estero,346
2014,4,Tierra Del Fuego,347
2014,4,Tucumán,386
2014,3,Buenos Aires,397
2014,3,Capital Federal,444
2014,3,Catamarca,292
2014,3,Chaco,346
2014,3,Chubut,317
2014,3,Córdoba,366
2014,3,Corrientes,341
2014,3,Entre Ríos,340
2014,3,Formosa,266
2014,3,Jujuy,293
2014,3,La Pampa,282
2014,3,La Rioja,310
2014,3,Mendoza,350
2014,3,Misiones,358
2014,3,Neuquén,374
2014,3,Río Negro,348
2014,3,Salta,341
2014,3,San Juan,347
2014,3,San Luis,350
2014,3,Santa Cruz,331
2014,3,Santa Fe,338
2014,3,Santiago Del Estero,310
2014,3,Tierra Del Fuego,347
2014,3,Tucumán,335
2014,2,Buenos Aires,385
2014,2,Capital Federal,425
2014,2,Catamarca,292
2014,2,Chaco,342
2014,2,Chubut,316
2014,2,Córdoba,356
2014,2,Corrientes,337
2014,2,Entre Ríos,331
2014,2,Formosa,265
2014,2,Jujuy,277
2014,2,La Pampa,268
2014,2,La Rioja,310
2014,2,Mendoza,350
2014,2,Misiones,354
2014,2,Neuquén,366
2014,2,Río Negro,343
2014,2,Salta,339
2014,2,San Juan,347
2014,2,San Luis,350
2014,2,Santa Cruz,332
2014,2,Santa Fe,331
2014,2,Santiago Del Estero,307
2014,2,Tierra Del Fuego,347
2014,2,Tucumán,335
2014,1,Buenos Aires,373
2014,1,Capital Federal,402
2014,1,Catamarca,280
2014,1,Chaco,326
2014,1,Chubut,318
2014,1,Córdoba,339
2014,1,Corrientes,322
2014,1,Entre Ríos,317
2014,1,Formosa,257
2014,1,Jujuy,269
2014,1,La Pampa,265
2014,1,La Rioja,296
2014,1,Mendoza,350
2014,1,Misiones,340
2014,1,Neuquén,355
2014,1,Río Negro,335
2014,1,Salta,330
2014,1,San Juan,347
2014,1,San Luis,350
2014,1,Santa Cruz,332
2014,1,Santa Fe,315
2014,1,Santiago Del Estero,295
2014,1,Tierra Del Fuego,345
2014,1,Tucumán,321
